side.effect	targets	n.target	k.target.med	k.target.mean	n.drug
Pneumonia aspiration	1814|1815|151|152|1812|150|1813|3362|3354|147|3356|6323|148|3352|3269|3350|3359|3358|6331	19	9.000000	12.947368	16
Pleural fibrosis	1814|1815|1816|152|1812|1813|150|151|148|3357|3356|3351|3350|3352|3358	15	8.000000	9.733333	4
Galactorrhoea	1128|1129|152|155|150|59340|3274|6532|6530|6531|2099|1814|1815|1544|1812|1813|3362|3363|1565|146|147|151|5004|1133|1132|1131|1816|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|1557|1559|5241|5243|1576	42	7.000000	16.500000	66
Malaise	1551|1557|1559|1558|7364|54658|1548|1565|9429|5243|7153|1576	12	7.000000	17.833333	346
Gastrointestinal disorder	1551|1559|1558|5243|1565|9429|1576	7	7.000000	7.857143	442
Affect lability	1551|1545|1557|1559|7363|5241|5243|1565|6531|1576	10	14.500000	18.300000	163
Parosmia	1551|1557|1559|1558|5243|1565|1576	7	7.000000	11.428571	58
Throat tightness	1128|1129|152|150|59340|1814|1815|1544|1812|1813|3362|3363|1565|147|151|1133|1132|1131|1816|148|3354|3356|3351|3350|3352|3269|3359|3358|5243|50632|801	31	7.000000	14.419355	39
Bundle branch block	1128|1129|152|150|3751|3752|3757|6532|6530|1814|1815|1816|1812|1813|7153|3362|3363|1565|146|147|151|5004|1133|1132|1131|148|3354|3356|3350|3352|3269|3358|6331|1576	34	7.000000	11.088235	45
Accommodation disorder	1128|1129|152|155|150|3751|3752|6532|6530|6531|1814|1815|1816|1813|3362|3363|1565|146|147|5004|1133|1132|1131|148|3357|3356|3351|3350|3352|3269|3359|3358|1557|5243	34	6.500000	8.470588	55
Dysarthria	1128|1129|152|7364|54600|6532|2567|5243|3363|2569|1815|1544|1812|1813|2561|2560|2563|2562|2565|1557|3362|2566|6323|4986|1562|706|1814|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|2554|2555|2556|2557|1559|2559|2570|1565|6331|1576	50	8.000000	10.880000	102
Faecaloma	1128|1129|152|150|1814|1815|1812|1813|3362|3363|4985|4986|4988|1565|151|1133|1132|1131|3354|3356|3351|3352|3359|3358|54576	25	7.000000	9.480000	18
Meningitis aseptic	213|1559|1558|7364|5742|5743|55867|9356	8	12.500000	31.125000	21
Xanthopsia	768|6557|771|762|760|6559|759	7	3.000000	5.571429	13
Muscle spasms	1814|1815|1544|1557|1812|1559|1558|54658|5243|1565|9429|1244|3352|1551|10599|1576	16	7.000000	10.000000	308
Glossodynia	1551|2322|2321|3791|2324	5	15.000000	22.000000	29
Weight increased	1128|1129|152|150|59340|6532|3362|6530|6531|2099|1814|1815|1816|1545|1812|1813|1548|3363|1565|146|147|151|5004|1133|1132|1131|1544|148|3354|3357|3356|3351|3350|3352|3269|3359|3358|1551|1557|1559|1558|1588|5241|5243|1576	45	7.000000	16.844444	227
Haemangioma	1544|1545|2099|1543|2100	5	31.000000	93.400000	7
Sluggishness	1128|151|152|150|6531|1814|1815|1816|1812|1813|3362|3363|147|1133|1132|148|3354|3356|3351|3350|3352|3269|3359|3358|1551	25	7.000000	7.680000	12
Suicidal ideation	1557|1813|1586|3362|3358|6532|6530|6531|3269|116444|3359|1576	12	7.500000	10.833333	62
Vascular purpura	1544|1557|1559|760|6559|5243|5742|5743|6532	9	17.000000	16.000000	146
Haemolytic anaemia	6833|3758|213|1557|6584|6565|1558|7364|1559|5742|5743|1244|1636|54575|55867|9356	16	7.000000	20.812500	143
Hyperreflexia	1814|1815|1812|1813|18|1565|148|1576|3356|6532|3352|6330|3358	13	9.000000	10.230769	45
Ovarian cancer	28234|1545|2099|2100|8856	5	30.000000	85.200000	9
Heart rate irregular	147|1132|3362|3354|3356|3350|3352|148	8	7.500000	7.875000	19
Toothache	1814|1815|1557|1812|1559|1565|1576|3356|3351|3350|3352|3358	12	9.000000	10.833333	55
Flat affect	1814|1815|1816|3614|3351|1557|1565|3352|1576|3354|3356|6532|6531|2554|3359|3358	16	7.500000	9.250000	65
Electrocardiogram QRS complex	1128|1129|155|3751|3752|6532|6530|1544|1813|3362|3363|1565|146|6582|6581|6580|5004|1133|1132|1131|10280|3356|3350|3269|6583|3358|6331	27	6.000000	7.555556	12
Anaemia	1551|1544|1633|9356|1557|1559|7364|7153|54658|5243|9429|5742|5743|1244|2030|1576	16	14.000000	18.625000	331
Acne	1814|1815|2475|2280|6462|5241|5243|9429|1551|1576	10	15.500000	24.600000	84
Cardiac failure congestive	775|1551|153|213|7068|7067|7364|3815|779|5243|9429|1559|5742|5743|7153|5468|5159	17	22.000000	44.470588	135
Mediastinal disorder	1551|54658|5243|1576|9429|1565	6	5.000000	7.333333	275
Mouth ulceration	1551|3614|3615|1557|3815|1559|7364|54658|5243|1565|9429|1576	12	10.500000	17.666667	121
Blood alkaline phosphatase increased	1551|1559|9429|7153|1576	5	7.000000	26.200000	123
Haemoglobin decreased	1814|1815|3815|5243|9429|1551|5159|1576	8	13.000000	26.625000	61
Stevens-Johnson syndrome	1551|213|1557|1559|1558|5243|9429|5742|5743|1244|1576|55867|9356	13	7.000000	22.923077	230
Torticollis	1128|1129|152|150|6532|1814|1815|1816|1812|1813|3362|3363|1565|147|151|1133|1132|1131|148|3354|3356|3350|3352|3269|3359|3358|1551|801	28	6.500000	14.285714	26
Nuchal rigidity	1814|1551|1557|1559|1565|5243|1576|3358|6329	9	8.000000	11.333333	51
Nephrotic syndrome	2322|2321|213|3551|2324|1559|3791|5742|5743|240|5320|5468|9356|55867|4353	15	18.000000	38.800000	45
Hypocalcaemia	5159|25|1545|3614|3815|2224|9429|2030	8	20.000000	64.250000	85
Hepatobiliary disease	1551|1544|1633|1557|3815|1559|54658|5243|9429|1244|1576	11	12.000000	17.909091	237
Hypoventilation	2891|1139|2554|2898|1137	5	13.000000	13.200000	29
Testicular swelling	1128|1129|152|155|150|3751|3752|59340|6532|6530|6531|1544|1813|3362|3363|1565|146|147|5004|1133|1132|1131|10280|3356|148|3269|3358|3350	28	6.000000	8.285714	14
Leukopenia	6833|9429|7498|9356|1557|1813|6565|1558|54600|7153|3362|3363|59340|1559|5742|3356|5243|2030|1551|1244	20	5.000000	12.750000	357
Confusional state	1128|1129|152|7364|54600|6532|6530|1814|1815|1544|1812|1813|7153|3362|3363|4986|4988|1562|706|6583|1133|1132|1131|54658|3357|3356|3351|3350|3352|3269|3358|1551|2554|2555|1557|1559|1558|2556|5243|1565|6331|1576	42	7.000000	11.666667	381
Hypertonia	1551|1544|3614|1557|3354|1559|18|3352|7364|1565|6326|54576|7153|1576|6329	15	9.000000	18.866667	130
Floppy iris syndrome	146|147|90134|3757|148	5	9.000000	8.400000	8
Dizziness postural	1814|1815|1816|152|1812|1813|150|151|1565|148|1576|3354|147|3356|3350|3352|3269|3359|3358	19	8.000000	9.105263	26
Ototoxicity	1728|6647|540|1318|1579|1244|4502|2944|2950|4489|538	11	5.000000	12.454545	9
Anaemia megaloblastic	1139|2554|2898|2557|1137|1719|2891|2559	8	10.000000	11.625000	18
Hyponatraemia	1551|6833|1559|54600|5243|9429|10928|1576	8	6.500000	12.000000	143
Cerebral haemorrhage	1551|5159|1557|3815|1559|9429|1576	7	12.000000	30.142857	45
Endocrine disorder	1814|1815|152|1312|1812|1813|1565|5243|1576|3356|3269|1551|3363|3358	14	9.500000	10.857143	82
Influenza	1559|1558|7364|54658|9429|10599|1576	7	7.000000	8.285714	190
Neuritis	1559|1633|1576|2030|596	5	12.000000	29.200000	74
Menopausal symptoms	1551|1545|7153|5243|1565|2099|1576	7	17.000000	66.571429	141
Breast disorder	1551|1544|5243|1565|9429|2099|1576	7	12.000000	52.428571	173
Prinzmetal angina	3355|4128|3351|3350|3352	5	8.000000	14.000000	5
Melaena	1557|1559|9429|5742|5743|1565	6	12.500000	13.666667	119
Pregnancy	1814|1815|1812|1813|5241|5243|3354|3356|3352|3269|1551|1565	12	9.500000	13.750000	51
Oedema	1551|1544|1633|1133|3358|5742|1548|1576|9429|1559|3357|3356|5243|1565|3350	15	7.000000	10.066667	385
Irritability	706|134|6532|2567|6530|6531|2569|1544|1545|2560|2563|2565|53919|4985|4986|4988|1136|10280|5243|1551|2554|2555|1557|2557|1559|2559|6462|2556|2570|8913|1571|1576	32	8.000000	11.687500	162
Swollen tongue	1815|1544|152|147|148|1576|3356|3350|3352|3358	10	9.500000	11.300000	22
Hypophosphataemia	1436|25|2321|205|204|2322|2224|2324|3791|3815|5156|9429|54577|1244|1551|5159	16	16.500000	41.812500	52
Abdominal distension	1551|1559|9429|1576|5243	5	7.000000	9.200000	180
Obsessive-compulsive disorder	1814|1815|1812|1813|148|6531|3269|1565	8	8.500000	10.250000	8
Hyperhidrosis	1551|1559|5243|1565|9429|1576	6	6.500000	8.000000	400
Eye movement disorder	1814|1815|151|152|1812|147|3356|3350|3352|3358	10	8.500000	9.200000	6
Toxic epidermal necrolysis	1551|213|1557|1559|7153|760|7364|54658|5243|9429|5742|5743|1244|1558|55867|9356	16	9.500000	26.687500	186
Euphoric mood	2562|706|6532|6530|6531|2569|4129|4128|2561|2560|2563|7363|2565|2567|2566|6326|4985|4986|4988|54600|3354|3357|3356|3351|3352|1551|2554|2555|1557|2557|1559|2559|2556|2570|1565|1576	36	8.000000	12.111111	126
Hypoxia	1139|1633|2554|2898|1137|2891	6	14.500000	13.666667	59
Coma	2903|213|1559|1558|54600|5742|6331|4986	8	12.000000	31.875000	118
Cardiomyopathy	1551|7153|5447|5243|9429|2030|1890	7	6.000000	20.857143	49
Sudden onset of sleep	1814|1815|1816|152|1812|1813|150|151|3357|3356|3351|3350|3352|3358	14	7.500000	9.785714	5
Unresponsive to stimuli	1814|1815|151|152|1812|147|3356|3350|3352|3358	10	8.500000	9.200000	6
Colitis	3614|213|596|1559|1558|54600|7364|54658|9429|5742|5743	11	9.000000	33.636364	108
Cerebrovascular accident	1128|151|152|155|150|6532|6530|6531|1815|1636|3362|3363|9429|1565|146|147|5004|1133|1132|148|3354|3356|3351|3350|3352|3269|3358|1728|5243|1579|2100|1576	32	6.000000	9.031250	151
Dry eye	1128|1129|151|152|1815|1133|1132|1131|5004|5243|1551|3354|1814|6532|3350|3352|3269|3351|1576|1565|25	21	6.000000	21.285714	112
Epigastric discomfort	6557|1557|762|760|6559|759	6	3.500000	8.666667	42
Drug tolerance	1565|4985|6532|6530|4986|4988|3358	7	7.000000	10.714286	14
Shock	1551|1544|1545|1557|5004|1559|1558|54600|54658|3362|3358|5243|3351|3350|3352|1576|3359|1565|6331	19	7.000000	10.526316	396
Psychotic disorder	1128|1129|152|3614|2904|6532|6530|6531|1814|1815|1544|1812|1813|3362|3363|1562|1565|6583|147|151|5004|1133|1132|1131|1816|148|3356|3350|3352|3269|3358|150|1644|1557|18|5243|8913|6331|1551|1571|1576	41	8.000000	10.853659	166
Pneumonia	1551|1633|1557|3815|1559|7153|54658|5243|9429|1576	10	14.000000	26.500000	221
Cardiac disorder	1814|1551|5243|1565|9429|1576	6	9.000000	9.166667	266
Completed suicide	1814|1815|1813|1565|3352|148|1576|3354|6532|3350|6530|6531|3269|3359|3358	15	7.000000	8.200000	47
Deafness	1551|1633|3614|213|1557|596|1559|1558|6579|7364|203068|5243|9429|5742|5743|1244|55867|9356	18	12.500000	35.333333	139
Cognitive disorder	1551|1557|1558|6579|7364|54658|6323|3156|6330|1576|1244	11	7.000000	15.909091	31
Scrotal oedema	5159|25|2475|3614|3615|9429|54577	7	30.000000	70.285714	13
Catatonia	1814|1815|153|152|154|1812|1813|148|3363|3354|3356|3351|3362|3269|5243|801|1565|3350	18	9.500000	21.944444	28
Disturbance in sexual arousal	151|150|152|6532|6530|6531|1814|1815|1816|1812|1813|3362|3363|4986|367|1565|146|147|5004|1133|9254|148|3357|3356|3350|3352|3269|3358|1551|1636|1557|1559|5243|8912|1576	35	7.000000	14.142857	173
Haemolytic uraemic syndrome	2475|1728|2280|6647|1318|540|4502|2944|4489|538	10	9.000000	18.900000	17
Vertigo	1551|1557|1559|1558|54600|5243|1565|5742|5743|3351|3352|1576	12	7.500000	11.250000	340
Dry throat	1128|1129|152|1812|1815|1133|1132|1131|3362|1565|3354|3356|3351|3352|1576|1814	16	6.500000	7.375000	31
Malignant melanoma	2280|2475|54577|3614|3615	5	23.000000	24.400000	16
Nystagmus	1551|2328|2554|2555|1557|2561|1558|54600|2562|7153|2556|1576|6326|54576|1244|18|1562|10928|706|6331	20	10.500000	17.000000	77
Dermatitis	1551|1559|1558|5243|9429|1548|1576	7	7.000000	7.714286	658
Impulse-control disorder	1814|1815|1816|1812|1813|3363|3350	7	10.000000	10.142857	8
Retroperitoneal fibrosis	1815|1816|150|3363|3357|3356|3351|3350|3352|3358	10	7.000000	8.200000	10
Alopecia	1551|1633|1543|1557|5004|1559|1558|5241|54658|5243|3358|9429|3356|8714|3350|2030|6532|1576|1565|1244	20	7.000000	11.950000	314
Arthritis	1551|1544|1557|1559|1558|5243|1565|9429|1576	9	7.000000	12.555556	160
Flatulence	1551|9356|1559|7364|54658|5243|1565|5743|10599|1576	10	6.500000	9.500000	290
Fatigue	151|152|6532|1544|1633|3362|3363|9429|1565|5004|1132|54658|3357|3356|3351|3350|3352|3269|3358|1551|1557|1559|1558|5243|1576	25	6.000000	8.680000	461
Erythema	1551|1545|1559|1558|5243|9429	6	7.000000	11.833333	292
Hypoalbuminaemia	1436|25|2321|3815|54600|2324|3791|5243|5156|2322|5159	11	26.000000	57.818182	13
Interstitial lung disease	9429|25|1244|5243|3815	5	17.000000	80.000000	77
Intestinal perforation	54600|7153|54658|54577|1244|471	6	4.000000	22.000000	25
Blood prolactin increased	1128|1129|152|150|1814|1815|1816|1812|1813|3362|3363|1565|147|151|773|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|5243|6331|1576	31	8.000000	8.516129	15
Withdrawal syndrome	2560|1565|5243|4985|6532|6530|4986|4988|1576	9	12.000000	12.666667	38
Blister	1551|1559|1558|1548|1576|1565	6	6.500000	5.833333	65
Cardiac valve disease	1814|1815|1816|152|1812|1813|150|151|3357|3356|3351|3350|3352|3358	14	7.500000	9.785714	12
Akathisia	1128|1129|152|150|59340|6532|6530|6531|1814|1815|1544|1812|1813|3360|3362|3363|1565|147|151|1133|1132|1131|1816|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|5243|801	35	7.000000	13.942857	54
Feeling abnormal	1128|1129|706|1544|7153|1548|9429|1565|1133|1132|54658|3357|3356|3351|3350|3352|3358|1551|1557|1559|1558|5243|6331|1576	24	7.000000	13.041667	492
Testicular pain	6532|6530|6531|6716|6715|1565	6	7.000000	10.500000	17
Myalgia	1551|7498|1545|1636|1557|1559|1558|1544|5243|316|9429|1633|1244|10599|1576|1565	16	7.000000	11.937500	365
Stomatitis	1551|9356|3815|7298|54600|7153|5243|9429|1559|5742|5743|2950	12	17.500000	25.000000	233
Lipase increased	2322|2321|3815|3791|2324	5	26.000000	34.600000	19
Malnutrition	1551|1633|1559|5243|1565|9429|1576	7	7.000000	9.142857	282
Blepharospasm	1814|1815|151|152|1812|1813|150|148|1565|3356|3351|3350|3352|3269|3358	15	8.000000	9.800000	17
Osteonecrosis of jaw	5159|2322|2321|2324|2224|3815|3791|523|5802	9	26.000000	34.111111	9
Depersonalisation	1551|1557|1559|5243|1565|3354|6532|6530|3352|3359|1576	11	6.000000	8.727273	69
Dermatitis contact	1559|1558|2908|6257|1576	5	12.000000	56.200000	116
Rash maculo-papular	1551|1559|9429|1576|5243	5	7.000000	9.200000	118
Aspartate aminotransferase increased	1551|5159|1557|3815|1559|5243|1565|9429|1576	9	12.000000	25.555556	166
Hypomania	1128|1129|152|155|150|3751|3752|59340|6532|6530|6531|1816|1813|3362|3363|1565|146|147|5004|1133|1132|1131|10280|3356|148|3352|3269|3359|3358|3350	30	6.000000	7.200000	28
Blepharitis	1814|1815|1816|152|1812|150|1565|1131|151|3362|3363|9429|3354|3356|3352|1551|3359|3358	18	5.500000	6.833333	59
Muscle contractions involuntary	1814|1557|2904|43|116443|3356|3351|3352|1576|1565	10	13.000000	16.900000	45
Palpitations	1128|1129|153|152|154|5742|6532|6530|6531|1544|4128|1636|8654|775|147|776|1133|1132|1131|148|146|3350|3352|3269|6583|3358|1551|1557|783|1559|5243|1565|3351|1576	34	8.000000	12.117647	351
Gingivitis	1551|3614|1557|1559|5243|1565|1576	7	9.000000	11.714286	75
Hyperpyrexia	1128|1129|1544|1812|1813|1133|1132|1131|1816|3362|1565|59340|1815|147|3356|148|801|1571|3358|1814|3350	21	9.000000	18.047619	32
Ileus	1551|1565|54600|54658|5243|1066|9429|203068|4985|4988|1576	11	6.000000	26.000000	71
Ventricular arrhythmia	135|6531|3757|5139|134|1814|1544|1812|1813|7153|3363|1565|147|1816|148|5141|3354|3356|3359|1551|8654|6336	22	11.500000	16.318182	78
Urticaria	1551|1544|213|1557|5004|1559|1558|6579|5243|1565|5742|5743|1244|1562|1576|9356	16	7.000000	20.750000	514
Depressed level of consciousness	706|2569|2561|2560|2563|2562|2565|2567|2566|4986|3352|2555|1551|2554|2898|2556|2557|2559|2891|2570|6331|1576	22	8.500000	10.818182	109
